Name,Description,Cuisine,Hours,Good for,Address,Price,Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beppu Menkan Restaurant,"Located in China Square Central, Beppu Menkan Restaurant specialises in Ramen and Tori Karaage. The restaurant is well-known for their spicy ramen, where you can decide the spiciness level – from no chilli at all to a whopping 8 chillies if you dare.

Head down to Beppu Menkan Restaurant for an affordable, comforting bowl of delicious ramen at one of Singapore’s longest-standing ramen stalls. (Dec 2018)",Japanese,"Mon-Fri: 11am-3pm, 6-10pmSat: 11am-10pmPH: 12-9pmClosed Sunday","Al Fresco, Casual Dining, Kid Friendly",3 Pickering Street# 01-32/33China Square Central Nankin RowSingapore (048660),$$,https://static.chope.co/uploads/2018/12/SG_Beppu_Menkan_Braised_Pork_R_1544007440.jpg https://static.chope.co/uploads/2018/12/SG_Beppu_Menkan_Char_Siew_Rame_1544007441.jpg https://static.chope.co/uploads/2018/12/SG_Beppu_Menkan_Fried_Chicken__1544007441.jpg https://static.chope.co/uploads/2018/12/SG_Beppu_Menkan_Gyu_Don_Edited_1544007441.jpg https://static.chope.co/uploads/2018/12/SG_Beppu_Menkan_Mushroom_Ramen_1544007441.jpg https://static.chope.co/uploads/2018/12/SG_Beppu_Menkan_Sliced_Beef_Ra_1544007441.jpg https://static.chope.co/uploads/2018/12/SG_Beppu_Menkan_Teriyaki_Chick_1544007441.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Berlin Bar & Restaurant,"The world’s too small for walls - The Berlin Bar & Restaurant personifies more than just a uniquely good time, it’s about the coming together of people for a gastronomical, quenching of the thirst, dancing the night away and soaking in the sounds of the great Live Music Fest.

Step back in time at The Berlin Bar & Restaurant, Singapore's premium retro experience, where you can dance the night away with our retro DJ's or rock the night away with Krueger, our very own in-house rock band with the ever delectable John Molina and Friends.

Over here at The Berlin Bar & Restaurant, there's always something for everyone! (Nov 2018)","Bar, Modern European, Italian, British, Vegetarian Friendly",Sun-Mon: 5pm-2amTue-Thu: 5pm-3amFri-Sat: 5pm-4am,"Al Fresco, Business Meetings, Casual Dining, Drinks, Private Functions",30 Victoria Street#B1-06CHIJMESSingapore (187997),$$,https://static.chope.co/uploads/2018/04/margarita_jpg_1523364762.jpg https://static.chope.co/uploads/2018/04/Dining_Area_jpg_1523364762.jpg https://static.chope.co/uploads/2018/04/Pasta_jpg_1523364762.jpg https://static.chope.co/uploads/2018/04/Interior_jpg_1523364762.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Best Brew,"Offering a stunning panoramic view of the Singapore River, The Best Brew is a hidden gem in the city to chill-out with your friends and business associates. You can enjoy its exclusive craft beer, Tall Tale Pale Ale that is not available anywhere else in the world, with a wide selection of delicious bar bites. You can also enjoy live band entertainment on selected nights or play pool at the Terrace for just $2 per game. (Nov 2017)","Bar, International, Local, Burgers",Mon-Sun: 11am-12am,"Al Fresco, Casual Dining, Drinks","382 Havelock RoadFour Points by Sheraton Singapore, RiverviewSingapore (169629)",$$,https://static.chope.co/uploads/2017/11/TBB_Crusty_Aussie_Burger_jpg_1510141292.jpg https://static.chope.co/uploads/2017/11/TBB_3_Tier_Afternoon_Tea_Bosto_1510141291.jpg https://static.chope.co/uploads/2017/11/TBB_Beef_Sliders_jpg_1510141292.jpg https://static.chope.co/uploads/2017/11/TBB_Devilled_Wings_jpg_1510141292.jpg https://static.chope.co/uploads/2017/11/TBB_Interior_jpg_1510141292.jpg https://static.chope.co/uploads/2017/11/TBB_The_Full_Monty_jpg_1510141294.jpg https://static.chope.co/uploads/2017/11/TBB_Poached_Hainanese_Chicken__1510141292.jpg https://static.chope.co/uploads/2017/11/TBB_3_Tier_Afternoon_Tea_Oyste_1510141292.jpg https://static.chope.co/uploads/2017/11/TBB_Tall_Tale_Pale_Ale_jpg_1510141294.jpg https://static.chope.co/uploads/2017/11/TBB_Al_Fresco_Dining_Area_jpg_1510141292.jpg https://static.chope.co/uploads/2017/11/TBB_The_Best_Brew_Platter_jpg_1510141294.jpg https://static.chope.co/uploads/2017/11/TBB_Luncheon_Meat_Chips_jpg_1510141292.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beurre,"Driven by the love for butter, Beurre (pronounced ""buh"") is to be remembered as a place of nourishment, warmth and comfort. It is where loved ones can gather and enjoy the company of one another over hearty flavours served in sharing portions, all granted by beurre. Our young talents, helming the kitchen, work the liberty-to-innovate to their advantage - breathing new life into otherwise familiar ingredients. Yet, even as so much thought goes into the menu, accessibility for all remains the forefront tenet. As guests share the dishes, they spread and share our joy of simply serving you the best we can. (Jul 2019)","Modern European, Modern Asian","Tue-Sat: 11am-3pm, 5-10pmSun: 11am-3pmClosed Monday","Casual Dining, Private Functions, Romantic Dates",23 Bukit Pasoh RoadSingapore (089837),$$,https://static.chope.co/uploads/2019/07/SG_Restaurant_Beurre_WAGYU_ONI_1563852328.jpg https://static.chope.co/uploads/2019/07/SG_Restaurant_Beurre_UNAGI_MAN_1563852328.jpg https://static.chope.co/uploads/2019/07/SG_Restaurant_Beurre_Interior__1563852327.jpg https://static.chope.co/uploads/2019/07/SG_Restaurant_Beurre_FRESHOYSTERS_jpg_1564110036.jpg https://static.chope.co/uploads/2019/07/SG_Restaurant_Beurre_OCTOPUSLEG_SALTEDEGG_jpg_1564110048.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big and Small Restaurant,"Big and Small Private Kitchen was founded in 1988 by Mr Zhao Zhongli, the former Senior Nutritionist of Chinese Consulate General in San Francisco. Over the years, many dishes have been recognized by culinary professionals. The restaurant was also awarded ""The Golden Spoon"" award for their top-notch private dishes.

Persevering the concept of “Tasting Good, Feeling Good and Good for Health”, all of our dishes are prepared with no MSG and additives. We only use natural ingredients and have achieved the “Healthier Choice” symbol by the Singapore Health Promotion Board. The meat and seafood we prepare are certified by the Singapore Agri-Food Bureau for hormone-free growth. Sauces are specially prepared in-house by our senior Chefs. Through continuous innovation, we strive to meet the taste buds of diners.



Big and Small means: a small kitchen in a big city and great integrity in a small kitchen. (Jun 2019)","Chinese, Local",Mon-Sun: 10:30am-11pm,"Business Meetings, Casual Dining, Kid Friendly, Drinks, Private Functions, Large Parties (16+)",4 Craig RoadSingapore (089664),$$,https://static.chope.co/uploads/2019/06/SG_Big_Small_Restaurant_Signat_1559624523.jpg https://static.chope.co/uploads/2019/06/SG_Big_Small_Restaurant_Fire_F_1559624523.jpg https://static.chope.co/uploads/2019/06/SG_Big_Small_Restaurant_Fragra_1559624523.jpg https://static.chope.co/uploads/2019/06/SG_Big_Small_Restaurant_Steame_1559624523.jpg https://static.chope.co/uploads/2019/06/SG_Big_Small_Restaurant_Stir_F_1559624524.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Sake Bar,"A cosy izakaya, the Big Sake Bar has everything you need in an after-hours watering hole. Tucked away in the Concourse Skyline building, this sleek bar boasts a strong sake game, with 28 whopping sake options to choose from. And like any top-notch drinking spot, the friendly servers are more than happy to guide you through the process of finding the perfect bottle suited to your tastes. One recommendation is the Dassai 23, a premium sake brimming with floral notes and hints of plum and brown sugar. Not a big sake fan? Don’t worry, as the bar also has numerous Japanese whiskeys, beers, and shochus for you to drink to your heart’s content.
Any decent izakaya will have a gut-busting menu, and Big Sake Bar goes to great lengths to ensure that their guests have an array of complementary food choices to graze on. An insanely aromatic dish, the Cha Han wins us over with minced garlic fried in rice. The Salmon Kama is another popular favourite among regulars, featuring salmon collar grilled over an open flame. Or how about digging into the mouthwatering Butabara, featuring chunks of fatty pork belly?
With convivial conversation and freely-flowing tipples, the Big Sake Bar is a downright charmer that may soon become your next favourite hangout spot. (May 2017)",Japanese,Mon-Sat: 5pm to 12am,"Business Meetings, Casual Dining, Drinks, Private Functions",302 Beach Road#01-02The Concourse SkylineSingapore (199600),$$,https://static.chope.co/uploads/2019/01/Bara_Chirashi_Don_jpg_1548930219.jpg https://static.chope.co/uploads/2019/01/BIG_Truffle_Alfafa_Roll_jpg_1548930219.jpg https://static.chope.co/uploads/2019/01/Kaisen_Don_jpg_1548930219.jpg https://static.chope.co/uploads/2019/01/Kushiyaki_jpg_1548930219.jpg https://static.chope.co/uploads/2019/01/Sashimi_Salad_jpg_1548930219.jpg https://static.chope.co/uploads/2019/01/Soft_Shell_Crab_Karaage_jpg_1548930219.jpg https://static.chope.co/uploads/2019/01/Sushi_Edomae_Special_8_jpg_1548930220.jpg https://static.chope.co/uploads/2019/01/Summer_Spicy_Spider_Roll_jpg_1548930220.jpg https://static.chope.co/uploads/2019/01/Ta_Ke_California_Roll_jpg_1548930220.jpg https://static.chope.co/uploads/2019/01/Truffle_Kanpachi_jpg_1548930220.jpg https://static.chope.co/uploads/2019/01/3_Colour_Cold_Noodles_jpg_1548930220.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bijan Restaurant,"Bijan Restaurant is an authentic Malay cuisine restaurant that offers some of the best Malay dishes, serving a wide selection of palatable options which are carefully prepared using the finest and freshest ingredients that will surely satisfy your cravings and delight your taste buds.

Located at Grandlink Square along Guillemard Road, Bijan Restaurant is just a few minutes away from Paya Lebar MRT Station. It provides a friendly atmosphere and a pleasant setting which makes it a great place to dine and savour every moment together with family, friends or colleagues. (Jul 2019)","Indonesian, Malaysian, Seafood, Local, Southeast Asian, Peranakan, Halal Certified, Modern Asian",Mon-Fri: 12-9:30pmSat-Sun & PH: 12-10:30pm,"Business Meetings, Casual Dining, Kid Friendly, Private Functions, Quiet Dinner, Romantic Dates",511 Guillemard Road#B1-02/09Grandlink SquareSingapore (399849),$$,https://static.chope.co/uploads/2019/07/SG_BijanRestaurant_Traditional_1564453592.jpg https://static.chope.co/uploads/2019/07/SG_BijanRestaurant_Finger_Club_1564453591.jpg https://static.chope.co/uploads/2019/07/SG_BijanRestaurant_Australian__1564453591.jpg https://static.chope.co/uploads/2019/07/SG_BijanRestaurant_Norwegian_F_1564453591.jpg https://static.chope.co/uploads/2019/07/SG_BijanRestaurant_Satay_jpg_1564453591.jpg https://static.chope.co/uploads/2019/07/SG_BijanRestaurant_Spaghetti_S_1564453592.jpg https://static.chope.co/uploads/2019/07/SG_BijanRestaurant_Tom_Kha_Gai_1564453592.jpg https://static.chope.co/uploads/2019/07/SG_BijanRestaurant_Assorted_De_1564453591.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bincho at Hua Bee,"Pre-purchase Chope Vouchers for Bincho at Hua Bee and get 10% off. This offer is not valid with 'Chope Exclusives', other discounts and promotions.
Click here to purchase.",Japanese,"Tue-Sun: 12-3pm, 6pm-12amClosed Monday","Casual Dining, Drinks, Private Functions, Quiet Dinner, Romantic Dates","78 Moh Guan Terrace #01-19,Singapore (162078)",$$$$,https://static.chope.co/uploads/2019/04/SG_Bincho_at_Hua_Bee_Mentaiko__1556176504.jpg https://static.chope.co/uploads/2019/04/SG_Bincho_at_Hua_Bee_Interior__1556176504.jpg https://static.chope.co/uploads/2019/04/SG_Bincho_at_Hua_Bee_Chicken_N_1556176504.jpg https://static.chope.co/uploads/2019/04/SG_Bincho_at_Hua_Bee_Dining_Ar_1556176504.jpg https://static.chope.co/uploads/2019/04/SG_Bincho_at_Hua_Bee_Grilled_C_1556176504.jpg https://static.chope.co/uploads/2019/04/SG_Bincho_at_Hua_Bee_Counter_S_1556176504.jpg https://static.chope.co/uploads/2019/04/SG_Bincho_at_Hua_Bee_Wagyu_wit_1556176504.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bincho at Min Jiang,"Enjoy an exclusive 7-course set menu at $58++ when you book through the Chope app or website to dine in August! Please use the promo code CE8BC when making your reservation to enjoy this exclusive.

T&Cs
• Valid for lunch on Saturday and dinner from Tuesday to Thursday.
• Limited to the first 20 diners per day.
• The menu applies to the entire table per booking.
• Set menu is fixed and request for changes will not be entertained, unless diner has an allergy or religious restrictions. Kindly inform the restaurant of any allergies or restrictions when making a reservation, under the ‘Special Requests’ field.
• Valid for dine-in only.
• This offer is not valid in conjunction with ongoing promotions, offers, sets, vouchers, discounts on eve of and on public holidays and on special occasions.
• The restaurant reserves the right to amend the terms & conditions without prior notice.",Japanese,"Tue-Fri: 6pm-12amSat-Sun: 12-3pm, 6pm-12amClosed Monday","Business Meetings, Drinks, Quiet Dinner, Romantic Dates",7A/B Dempsey RoadSingapore (249684),$$$$$,https://static.chope.co/uploads/2019/07/Uni_Shabu_Shabu_jpg_1563854360.jpg https://static.chope.co/uploads/2019/07/Bento_jpg_1563854359.jpg https://static.chope.co/uploads/2019/07/Chicken_Rice_with_Uni_jpg_1563854359.jpg https://static.chope.co/uploads/2019/07/Counter_Seating_jpg_1563854359.jpg https://static.chope.co/uploads/2019/07/Pork_Amazake_Shabu_Shabu_jpg_1563854360.jpg https://static.chope.co/uploads/2019/07/Yasai_Maki_2_jpg_1563854360.jpg https://static.chope.co/uploads/2019/07/Sashimi_Platter_jpg_1563854360.jpg https://static.chope.co/uploads/2019/07/Interior_jpg_1563854360.jpg https://static.chope.co/uploads/2019/07/Snow_Crab_Fried_Rice_jpg_1563854360.jpg https://static.chope.co/uploads/2019/07/Yasai_Maki_jpg_1563854360.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binomio,"A binomial is composed of two parts that form a single one. With that, Binomio Spanish Restaurante, is the combination of two vital concepts in the Spanish cuisine: Tapas and Restaurant Quality food inspired by the traditional Spanish taste is served. One can experience an elegant and warm service that is sure to leave unforgettable personal memories.

Head chef Gonzalo Landin has worked with the biggest names in the culinary world, in some of the world’s best restaurants since graduating from London’s Le Cordon Bleu. At Binomio, Chef Gonzalo takes classic Mediterranean dishes and adds the skills and techniques he’s learnt from the masters. Binomio’s focus on traditional Spanish cuisine allows Gonzalo to do what he cherishes most - putting his Spanish identity on a plate. (Dec 2018)",Spanish,"Mon-Fri: 12-2pm, 6-10:30pmSat: 6-10:30pmClosed Sunday","Business Meetings, Fine Dining, Drinks, Quiet Dinner, Romantic Dates, Large Parties (16+)","20 Craig Road #01-02,Singapore (089692)",$$$$,https://static.chope.co/uploads/2019/02/_Char_grilled_Pluma_Iberica_se_1549960541.jpg https://static.chope.co/uploads/2019/02/Pork_Belly_with_Artichokes_and_1549960548.jpg https://static.chope.co/uploads/2019/02/Squid_stuffed_with_Squid_ink_r_1549960542.jpg https://static.chope.co/uploads/2019/02/Atlantic_Octopus_A_Feira_Style_1549960541.jpg https://static.chope.co/uploads/2019/02/Binomio_dishes_jpg_1549960542.jpg https://static.chope.co/uploads/2019/02/Homemade_Spider_Crab_Pate_Cod__1549960542.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birds of a Feather,"It’s easy to mistake Birds of a Feather for yet another pretty cafe. The space is filled with natural light from two air-well openings, and hand-crafted art pieces and copper pipes are a chic finish to the walls here.

But the dishes here are far from the typical Eggs Benedict or pancake stack. Instead, the food is a delicious fusion of Western with Sichuan influences. Take the Yuxiang (fish fragrance). The sauce is traditionally made by frying doubanjiang, garlic and ginger with pickled chilli, served with meaty eggplants. At Birds of a Feather, the same dish comes with an extra layer of mozzarella cheese, and a generous sprinkle of mantou crumbs.
If you’re a big fan of spicy food, items like the Fortune Skewers are a must-order. This crowd favourite has gotten a new twist, and now comes with a fiery Sichuan red oil. Birds of a Feather specially pick their spices from Chengdu’s spice market, and these are laboriously  fried with chillies to create this house-made oil.

Not all Sichuan dishes are numbingly spicy, either. The Sichuan Oxtail Soup is a light, clear broth, akin to the familiar pig’s trotters soup. Chinese herbs and fresh leek infuse this comforting soup with plenty of flavour.

Just looking for a relaxed night out, with drinks and some simple grub? The street food-inspired selection is the perfect bar snack. Definitely order the Charcoal Grilled Pork Bits. Inspired by barbecued pork belly skewers sold along the streets, Birds of a Feather does a luxe version with Duroc pork belly, crispy rice crackers, charred green chilli, and Japanese sweet potato. (July 2018)","Bar, Modern European, Chinese, Fusion, Cafe","Mon-Wed: 10:30am-3pm, 5-11pmThu: 10:30am-3pm, 5pm-12amFri-Sat: 10:30am-12amSun: 10:30am-10pm","Business Meetings, Casual Dining, Drinks, Private Functions, Quiet Dinner, Romantic Dates",115 Amoy Street#01-01Singapore (069935),$$$,https://static.chope.co/uploads/2018/07/SG_Birds_of_a_Feather_Red_Bird_1531982785.jpg https://static.chope.co/uploads/2018/07/SG_Birds_of_a_Feather_Birds_Si_1531982785.jpg https://static.chope.co/uploads/2018/07/SG_Birds_of_a_Feather_Wagyu_St_1531982785.jpg https://static.chope.co/uploads/2018/07/SG_Birds_of_a_Feather_Baked_Eg_1531982784.jpg https://static.chope.co/uploads/2017/10/BF_Interior_jpg_1509425080.jpg https://static.chope.co/uploads/2018/07/SG_Birds_of_a_Feather_Charcoal_1531982785.jpg https://static.chope.co/uploads/2018/07/SG_Birds_of_a_Feather_Cold_Bla_1531982785.jpg https://static.chope.co/uploads/2018/07/SG_Birds_of_a_Feather_Quinoa_D_1531982785.jpg https://static.chope.co/uploads/2018/07/SG_Birds_of_a_Feather_Birds_No_1531982784.jpg https://static.chope.co/uploads/2017/10/BF_Whiskey_jpg_1509425080.jpg https://static.chope.co/uploads/2017/10/BF_Someone_Like_You_jpg_1509425080.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biseryu Japanese Restaurant,"Biseryu Japanese Restaurant is a new restaurant concept with over 12 popular and famous award-winning restaurants from different parts of Japan represented under one roof.


Taste the exotic Gyutan or Ox tongue from the famous Senri restaurant in Sendai or if lamb is your preferred red meat, then come try Shibaura Genghis Khan’s Grilled Lamb Don. For something out of the ordinary, savour the ever popular Omurice (omelette rice) set and try the fragrant pan-fried egg omelette over Japanese Niigata rice.

We will also be serving alcohol throughout the day but a must try is our signature Aperol Spritzer with Sparkling sake! There will also be a carefully selected range of sake for your enjoyment.

If you are looking for a cosy no fuss Japanese restaurant with good ambience and friendly servers with exceptional tasting food, look no further! Biseryu is also a great place to entertain your guests as well as having group gatherings. (Jun 2019)","Japanese, Fusion, Steakhouse, Cafe, Burgers",Mon-Sun: 11am-9pm,"Business Meetings, Casual Dining, Drinks, Private Functions, Quiet Dinner",14 Scotts Road#02-59Far East PlazaSingapore (228213),$$,https://static.chope.co/uploads/2019/06/SG_Omurice_with_Sirloin_Steak__1560842459.jpg https://static.chope.co/uploads/2019/06/SG_Biseryu_Beef_Burger_jpg_1560842459.jpg https://static.chope.co/uploads/2019/06/SG_Roast_Beef_Don_jpg_1560842459.jpg https://static.chope.co/uploads/2019/06/SG_Wagyu_Hamburg_Steak_w_Mixed_1560842459.jpg https://static.chope.co/uploads/2019/06/SG_Wagyu_Hamburg_Steak_with_Ro_1560842459.jpg https://static.chope.co/uploads/2019/06/SG_Biseryu_Interior_jpg_1560842459.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bistecca Tuscan Steakhouse,"Traditional Tuscan sharing steaks and authentic Italian cuisine.
“Bistecca” is Italian for steak. Bistecca Tuscan Steakhouse's signature dish, and namesake, is the Bistecca alla Fiorentina — a thick cut, char-grilled T-bone steak to share.  Prepared in traditional Tuscan style over a high temperature wood-fired grill to produce a charred crust yet tender and juicy centre for an indulgent steak experience.
Singapore’s favourite Italian steakhouse has been reimagined with a stylish new look at 26 Mohamed Sultan Road, right next door to its previous location, five minutes from the CBD. The heritage features of the century-old shophouse evoke a warm Italian farmhouse feel with exposed brick walls and wood paneling.
Slip into a cozy leather booth and experience unmatched, intimate dining by candlelight with impeccable service, or treat your guests to a modern Tuscan feast at the Chef’s table, adjacent to the open-design kitchen. (Dec 2017)","Bar, Italian, Steakhouse","Mon: 6-10pmTue-Sun: 12-2pm, 6-10pm","Al Fresco, Business Meetings, Casual Dining, Kid Friendly, Private Functions, Quiet Dinner, Romantic Dates",26 Mohamed Sultan RoadSingapore (238970),$$$$,https://static.chope.co/uploads/2017/12/BTS_Interior_jpg_1513941675.jpg https://static.chope.co/uploads/2017/12/BTS_Carne_jpg_1513941674.jpg https://static.chope.co/uploads/2017/12/BTS_Burrata_jpg_1513941674.jpg https://static.chope.co/uploads/2017/12/BTS_Dining_Area_jpg_1513941674.jpg https://static.chope.co/uploads/2017/12/BTS_Fiorentina_jpg_1513941674.jpg https://static.chope.co/uploads/2017/12/BTS_Salumi_jpg_1513941675.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bistro @ Duo,"With it’s chill atmosphere, delicious menu items, and range of tipples, this new spot in the heart of the city is set to be your new post-work hangout. Whether you want to create your own cocktail or cut into a juicy steak, there’s something here for everyone!

Carnivores will love the Beef Tenderloin here as not only is the meat sourced from the freshest suppliers, it is grilled to perfection on a Lava Grill and served with a rich sauce and seasonal vegetables. Diners looking for something a little moreish will love the Classic Homemade Cheese Burger. The beef in the burger is cooked to your required doneness, and is slathered in a homemade sauce and sandwiched between two fluffy buns.

Diners looking for a tipple or two will love the cocktails here. If you’ve got a sweet tooth, indulge it with the creamy Bailey’s Shake - made with Bailey’s Irish Cream, Kahlua and milk. Prefer something with a little more edge? Opt for the Blue Meanie - laced with ginger and lime, this is one drink that both refreshes and packs a punch. There is also a range of popular beers, liquors, and wines available for diners who prefer the classics. (June 2018)","Modern European, Modern Asian",Mon-Sat: 12pm-12amSun: 12-11pm,"Al Fresco, Casual Dining, Drinks, Private Functions, Quiet Dinner, Large Parties (16+)",7 Fraser Street#01-25/26Duo GalleriaSingapore (189356),$$$,https://static.chope.co/uploads/2019/02/Beef_Rendang_jpg_1551064398.jpg https://static.chope.co/uploads/2019/02/Food_Spread_jpg_1551064398.jpg https://static.chope.co/uploads/2019/02/Interior_jpg_1551064398.jpg https://static.chope.co/uploads/2019/02/Pool_Table_jpg_1551064398.jpg https://static.chope.co/uploads/2019/02/Pork_Ribs_jpg_1551064398.jpg https://static.chope.co/uploads/2019/02/Wagyu_Steak_jpg_1551064398.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Black Swan,"Set in a 1930s landmark in the CBD, The Black Swan injects fresh glamour and life into an otherwise cold and mechanical district. The glorious Art Deco-style institution pays homage to New York’s canonised steakhouse trope, offering a grand expression of chophouse classics paired with an inspired wine list. An alluring amalgam of restaurant, bar and urban respite, The Black Swan’s extensive dining experience includes a lush alfresco garden patio, on top of an exceptional private dining experience in the bank’s former vault. The restaurant was awarded Tatler’s Best New Restaurant of the Year in its first year of opening. (Oct 2017)","Bar, Modern European, French, Steakhouse",Mon-Fri : 11:30am-11:30pmSat : 5-11:30pmClosed Sunday & PH,"Business Meetings, Casual Dining, Drinks, Private Functions, Quiet Dinner, Romantic Dates",19 Cecil StreetSingapore (049704),$$$,https://static.chope.co/uploads/2019/04/The_Black_Swan_Communal_JPG_1555928410.JPG https://static.chope.co/uploads/2019/04/The_Black_Swan_Charred_Sugarlo_1555928410.JPG https://static.chope.co/uploads/2017/08/tbs_STEAK_jpg_1504063907.jpg https://static.chope.co/uploads/2017/08/tbs_CAVIAR_jpg_1504063790.jpg https://static.chope.co/uploads/2017/08/tbs_COMMUNAL_jpg_1504063828.jpg https://static.chope.co/uploads/2017/08/tbs_ONIONSOUP_jpg_1504063874.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blu Kouzina,"Blu Kouzina, a favourite destination for authentic Greek cuisine in Singapore for the past few years, is moving to a new location on Dempsey Hill. The new space brings together elements of Greek mythology and design along with Singapore's Chinese heritage and its colonial past. Stepping through the entrance, graced with two Mycaenian Lions, onto the black-and-white tiled floor and surrounded by the decorative Meander pattern, one isn't only transferred to Greece's rich ancient culture. The patterns also strike a familiar tone with designs seen in ancient China as well as Singapore's black-and-white houses. It's a marriage of culture that will make you feel at home as you settle for a culinary adventure a world away. The combination of past and present continues in the menu, where fresh and quality ingredients are used in dishes both traditional and creatively contemporary. (Apr 2016)",Greek,"Mon-Sun: 12-2:30pm, 6-10pm","Al Fresco, Kid Friendly, Quiet Dinner, Romantic Dates",10 Dempsey Road#01-21Singapore (247700),$$$,https://static.chope.co/uploads/2017/07/BK_Souvlaki_Me_Pita_jpg_1499849390.jpg https://static.chope.co/uploads/2017/07/BK_Bifteki_Stin_Shara_Beef_Pat_1499849436.jpg https://static.chope.co/uploads/2017/07/BK_Prawns_jpg_1499849467.jpg https://static.chope.co/uploads/2017/07/BK_Interior_jpg_1499849507.jpg https://static.chope.co/uploads/2017/07/BK_Bourgoudi_jpg_1499849534.jpg https://static.chope.co/uploads/2017/07/BK_Fava_Tzatziki_Meliztanosala_1499849596.jpg https://static.chope.co/uploads/2017/07/BK_Lamb_Chops_Paidakia_jpg_1499849636.jpg https://static.chope.co/uploads/2017/07/BK_Dining_Area_jpg_1499849674.jpg https://static.chope.co/uploads/2017/07/BK_Octopus_Xtapodi_jpg_1499849727.jpg https://static.chope.co/uploads/2017/07/BK_Horiatiki_Greek_Salad_jpg_1499849758.jpg https://static.chope.co/uploads/2017/07/BK_Saganaki_Figs_jpg_1499849783.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Jasmine,"Enjoy up to 30% off at Blue Jasmine when you purchase vouchers from ChopeDeals. Vouchers are not valid with 'Chope Exclusives', other discounts and promotions.
Click here to purchase.","Thai, Vegetarian Friendly",Mon-Sun: 11:30am to 10:30pm,"Al Fresco, Casual Dining, Kid Friendly, Private Functions, Quiet Dinner, Romantic Dates",10 Farrer Park Station RoadLevel 5Park Hotel Farrer ParkSingapore (217564),$$,https://static.chope.co/uploads/2018/03/Express_Lunch_Promotion_jpg_1519966144.jpg https://static.chope.co/uploads/2017/05/Blue_Jasmine_Southern_Roasted__1495075696.jpg https://static.chope.co/uploads/2017/10/Durian_Sticky_Rice_jpg_1507609771.jpg https://static.chope.co/uploads/2017/05/Blue_Jasmine_Blue_Mango_Sticky_1495075696.jpg https://static.chope.co/uploads/2017/05/Blue_Jasmine_Dining_Area_jpg_1495075696.jpg https://static.chope.co/uploads/2017/05/Blue_Jasmine_Larb_Salmon_jpg_1495075696.jpg https://static.chope.co/uploads/2017/05/Blue_Jasmine_Red_Ruby_jpg_1495075696.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
